ra,dec,OBJECT_ID,parallax,parallax_error,phot_g_mean_mag
100.19734756099923,9.90998768845469,3326928671604634624,0.1166304503688953,0.45951617,19.78146
100.27280461308251,9.894666398030278,3326740826920795648,1.5234113267959362,0.3681288,19.134901
100.18630219066269,9.931668600088251,3326928980842270848,0.4883567829773578,0.13208745,17.951797
100.18514291713971,9.927704618368734,3326928980842270464,0.2498274037325851,0.11657457,17.56798
100.19887612484604,9.9016043132131,3326928671604632704,0.0592007307302471,0.37256706,19.411444
100.18397820006273,9.95186777143042,3326929156936569728,0.53445174159157,0.98872685,20.510792
100.21139808933056,9.991127005075771,3326930355238520448,1.5283734334100938,0.94060606,20.302666
100.18932071944973,9.967797198718934,3326929942914948608,0.7401656867567439,0.17832415,18.448044
100.19038164010468,9.969860596900205,3326929942914963072,0.28143866232834,0.78564125,19.956314
100.18344269468966,9.929949792166092,3326928985138075392,0.4728308884474473,0.4636198,19.722101
100.18484631773433,9.922021878115366,3326928740324113152,0.4251013779607784,0.15860283,18.038147
100.181473216887,9.929728455496026,3326928985138086144,1.759792729925585,0.75871825,20.324364
100.28603839199536,9.896278693342476,3326740448959197952,1.1206603326075852,0.3197723,19.317348
100.18255400073612,9.958332556657748,3326929152642461056,0.0126778404359407,0.16434376,18.387707
100.18305708728904,9.921363643277353,3326928740324101760,0.4047656052652944,0.19765723,18.50205
100.19439403912588,9.980609837279388,3326930320872085504,0.0198859974315501,0.22156347,18.714716
100.18398129332942,9.917856700827617,3326928744619723392,0.9251856442312334,1.6479424,20.620079
100.19230286972214,9.97950154673744,3326930325167664640,0.50914735837042,0.3520105,19.361443
100.1849805464437,9.96787976761826,3326929942914962816,0.4569099574826644,0.33636725,19.189505
100.22753785467344,10.002217135824708,3326930496967670912,3.2090356899252024,1.810364,20.120028
100.17828427500784,9.940468031724876,3326929049563590144,0.2317130495955624,0.5501389,19.832134
100.303128469464,9.963407473875751,3326743129017763328,1.622191349848097,0.5020124,19.520555
100.29169235130075,9.98266908021466,3326930874923456384,0.0354308420636811,1.5776569,20.504175
100.216098725898,9.999545306797266,3326930458310832384,0.8582906303633808,0.36178353,19.222557
100.17918416849422,9.925191781520494,3326928946484374528,1.332859461244488,0.5541015,19.807802
100.30688133952778,9.926995114994286,3326741342316878720,1.2990075373063743,0.53361607,19.890806
100.2579378175224,9.877592896195486,3326740689481840896,1.314567236049112,0.30761203,17.922543
100.24258044319431,9.875220963059704,3326740689477364864,1.494808015539283,0.32818544,19.330853
100.17891112087791,9.961591374664716,3326929908556996480,0.5042524497676985,0.40912697,19.597212
100.17555767232813,9.949990829708852,3326929049563233152,0.5726953540455455,0.18542382,18.575785
100.2016362936549,9.994219825354389,3326930355231810944,0.3562041211970138,0.109267294,17.29491
100.19613739775266,9.891888653145088,3326717531013658752,0.3080494900703763,0.3136706,19.042828
100.18154150474868,9.972101715060584,3326929942916498560,1.4051212803795512,0.62165576,17.564716
100.23415735647532,10.008185746159748,3326930492677173760,3.070716845758608,0.96948653,20.307245
100.17356628418383,9.931347067635594,3326928950778151296,2.199792394581642,1.0612177,20.524496
100.18351483715682,9.977298380382992,3326929942916475520,0.1664174717489237,0.26080674,19.041079
100.1743331219252,9.925823734840767,3326928946484374656,0.2997127567364471,0.2511675,18.771875
100.30353711966286,9.906421987445873,3326740487611773056,1.6254153251425845,0.73864645,20.393837
100.24093718976238,10.009991078586664,3326931214225080576,0.5286251774767203,0.39565727,19.299593
100.18416493750864,9.90233703353168,3326905203903327488,0.4609988236556449,0.6528244,20.144926
100.2091018497088,9.879708888729075,3326717462294180736,0.2268833931916571,0.4305805,19.356909
100.17842228755974,9.969569630018848,3326929942923803392,0.253534482232109,0.69749445,19.935572
100.21918232227767,10.006510041869454,3326930458310836224,0.3822895406828505,0.47936103,19.667498
100.22881136076812,10.009357836268215,3326930492679524608,1.159598612474389,0.8280366,20.014893
100.17210106725094,9.952096829095652,3326929049563235840,0.4632735175239452,0.1295459,17.90133
100.2083547287653,10.002619048960677,3326930458317733504,0.1493971781298303,0.949312,20.320961
100.17158192371784,9.932550124085214,3326928946488943744,1.501576594109766,1.8677024,20.633484
100.1755819394814,9.913350443289277,3326905272624539520,0.7624346747798982,0.4375397,19.562422
100.18604334165111,9.895892651456672,3326905208198948096,0.9591746426908272,1.1402692,20.617067
