_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
100.20977800	+09.84419600	100.209778	+09.844196	06405034+0950391	15.372	0.067	14.836	0.060	14.410	0.089	AAA	222	111	000	0	0
100.19992800	+09.84055600	100.199928	+09.840556	06404798+0950260	14.016	0.030	13.217	0.026	12.828	0.033	AAA	222	111	000	0	0
100.21151200	+09.84037100	100.211512	+09.840371	06405076+0950253	12.220	0.023	10.895	0.024	10.222	0.025	AAA	222	111	000	0	0
100.22817600	+09.86114500	100.228176	+09.861145	06405476+0951401	17.188	0.276	15.747	0.124	15.046	0.154	DBB	222	111	000	0	0
100.21451800	+09.86548000	100.214518	+09.865480	06405148+0951557	15.261	0.392	15.025	0.259	14.465	0.154	DDB	222	111	ccc	0	0
100.21897300	+09.86833100	100.218973	+09.868331	06405255+0952059	12.689	0.022	11.970	0.024	11.724	0.028	AAA	222	111	000	0	0
100.22925300	+09.85702000	100.229253	+09.857020	06405502+0951252	15.775	0.079	14.580	0.049	13.925	0.066	AAA	222	111	000	0	0
100.21484300	+09.85763900	100.214843	+09.857639	06405156+0951275	15.253	0.051	14.163	0.036	13.613	0.059	AAA	222	111	c00	0	0
100.21480000	+09.86373600	100.214800	+09.863736	06405155+0951494	9.376	0.024	9.470	0.024	9.429	0.024	AAA	222	111	000	0	0
100.23279100	+09.85846800	100.232791	+09.858468	06405586+0951304	13.862	0.026	13.154	0.024	12.924	0.031	AAA	222	111	000	0	0
100.21204200	+09.87121600	100.212042	+09.871216	06405089+0952163	16.174	0.120	15.307	0.086	14.940	0.132	BAB	222	111	c00	0	0
100.21307900	+09.84386900	100.213079	+09.843869	06405113+0950379	14.514	0.040	13.844	0.023	13.325	0.044	AAA	222	111	000	0	0
100.23215400	+09.85384800	100.232154	+09.853848	06405571+0951138	12.872	0.022	12.197	0.026	12.012	0.027	AAA	222	111	000	0	0
100.21409800	+09.86701600	100.214098	+09.867016	06405138+0952012	15.265	0.121	14.367	0.063	13.776	0.073	BAA	222	111	ccc	0	0
100.22149500	+09.84725300	100.221495	+09.847253	06405315+0950501	15.033	0.045	14.425	0.039	14.145	0.067	AAA	222	111	000	0	0
100.22290900	+09.85784800	100.222909	+09.857848	06405349+0951282	16.751	0.185	16.070	0.168	15.246	0.160	CCC	222	111	000	0	0
100.22479300	+09.84945900	100.224793	+09.849459	06405395+0950580	14.273	0.043	13.607	0.039	13.458	0.053	AAA	222	111	ccc	0	0
