_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.313873 9.914139 06411532+0954509 14.187 13.581 13.373
100.323809 9.923893 06411771+0955260 16.598 0.139 0.162
100.317181 9.909062 06411612+0954326 16.335 15.395 15.394
100.320708 9.911906 06411696+0954428 15.747 15.002 14.549
100.321887 9.908993 06411725+0954323 12.833 12.045 11.552
100.323343 9.906593 06411760+0954237 16.689 15.825 15.197
100.315795 9.924048 06411579+0955265 15.021 13.204 12.379
100.23559 9.870881 06405654+0952151 16.694 0.143 0.126
100.236831 9.865734 06405683+0951566 14.022 13.302 13.010
100.230651 9.87109 06405535+0952159 14.165 13.583 13.249
100.235695 9.871962 06405656+0952190 16.418 0.128 0.107
100.231747 9.870156 06405561+0952125 15.056 14.488 14.218
100.227625 9.873687 06405463+0952252 15.673 14.528 13.926
100.225454 9.873486 06405410+0952245 15.336 14.883 14.334
100.250139 9.871637 06410003+0952178 9.998 10.001 9.943
100.251095 9.870848 06410026+0952150 11.019 0.046 0.043
100.246798 9.885526 06405923+0953078 12.354 11.678 11.453
100.228676 9.88677 06405488+0953123 13.918 13.086 12.397
100.242614 9.875265 06405822+0952309 16.391 15.778 15.047
100.23036 9.88042 06405528+0952495 17.083 15.911 14.996
100.242244 9.876518 06405813+0952354 15.065 14.365 14.283
100.257839 9.880014 06410188+0952480 9.254 9.23 9.204
100.252998 9.882315 06410071+0952563 16.894 15.786 15.387
100.257943 9.877631 06410190+0952394 14.481 13.593 13.180
100.245575 9.900236 06405893+0954008 10.111 10.044 9.950
100.248941 9.901754 06405974+0954063 12.951 12.278 12.100
100.244429 9.895751 06405866+0953447 5.202 5.322 5.340
100.249643 9.899112 06405991+0953568 14.189 0.196 0.224
100.277101 9.895932 06410650+0953453 14.376 13.675 13.447
100.251797 9.900984 06410043+0954035 12.99 12.331 12.120
100.251676 9.902792 06410040+0954100 16.112 15.329 14.670
100.27363 9.895774 06410567+0953447 16.576 15.425 14.812
100.272818 9.894688 06410547+0953408 15.68 15.178 14.917
100.254366 9.908367 06410104+0954301 16.258 15.35 14.458
100.255479 9.884967 06410131+0953058 15.89 14.212 13.576
100.27172 9.887719 06410521+0953157 12.472 11.821 11.641
100.269903 9.906194 06410477+0954222 16.334 15.117 14.449
100.251459 9.898128 06410035+0953532 13.885 13.168 12.945
100.262106 9.893361 06410290+0953360 13.922 13.201 12.996
100.271374 9.896583 06410512+0953476 13.828 12.753 12.092
100.268613 9.888441 06410446+0953183 12.979 12.266 11.981
100.264615 9.884614 06410350+0953046 17.614 0.125 0.151
100.261957 9.897989 06410286+0953527 13.779 13.112 12.884
100.260568 9.879864 06410253+0952475 14.563 13.99 13.640
100.258603 9.880803 06410206+0952508 10.493 10.44 10.364
100.212733 9.902127 06405105+0954076 16.775 15.922 15.201
100.204635 9.900865 06404911+0954031 14.118 13.567 13.278
100.212259 9.909133 06405094+0954328 14.297 13.219 12.801
100.211616 9.903172 06405078+0954114 16.655 0.144 0.144
100.209716 9.904407 06405033+0954158 13.028 12.403 12.105
100.220934 9.883183 06405302+0952594 13.404 12.673 12.463
100.214214 9.890094 06405141+0953243 14.687 14.077 13.881
100.213763 9.891327 06405130+0953287 15.35 14.777 14.496
100.220871 9.889906 06405300+0953236 15.343 14.702 14.305
100.228609 9.889098 06405486+0953207 15.252 14.55 14.529
100.226643 9.891445 06405439+0953292 15.494 14.841 14.658
100.232939 9.898173 06405590+0953534 13.425 12.672 12.456
100.211245 9.889099 06405069+0953207 16.58 15.753 15.129
100.199193 9.898689 06404780+0953552 11.682 11.102 10.726
100.200395 9.894265 06404809+0953393 13.497 12.899 12.726
100.206398 9.889729 06404953+0953230 10.918 10.861 10.780
100.208164 9.886296 06404995+0953106 17.344 16.135 15.343
100.235446 9.902895 06405650+0954104 10.783 10.306 10.206
100.230164 9.920506 06405523+0955138 15.051 14.455 14.275
100.237439 9.905504 06405698+0954198 14.506 13.941 13.590
100.245281 9.905993 06405886+0954215 14.916 14.366 14.232
100.239506 9.915929 06405748+0954573 14.82 14.264 14.039
100.247272 9.922276 06405934+0955201 10.653 10.064 9.701
100.24666 9.90404 06405919+0954145 13.955 13.302 13.109
100.239751 9.925801 06405754+0955328 14.603 13.584 13.077
100.242518 9.929043 06405820+0955445 13.464 12.765 12.527
100.222548 9.912136 06405341+0954436 14.888 14.223 14.248
100.24172 9.899787 06405801+0953592 11.823 0.041 0.035
100.287574 9.918544 06410901+0955067 18.201 0.126 0.146
100.301784 9.916697 06411242+0955001 14.751 14.126 13.885
100.284044 9.904361 06410817+0954156 15.034 14.47 14.278
100.273684 9.905202 06410568+0954187 12.738 12.022 11.844
100.276738 9.902974 06410641+0954107 13.188 12.54 12.313
100.26903 9.912191 06410456+0954438 9.523 9.255 8.909
100.279701 9.919143 06410712+0955089 14.178 13.173 12.575
100.276957 9.918868 06410646+0955079 15.97 14.986 14.425
100.27806 9.920584 06410673+0955141 16.398 0.128 0.185
100.294845 9.92831 06411076+0955419 17.183 14.81 UUB
100.29533 9.927321 06411087+0955383 16.583 13.938 UUA
100.288927 9.935594 06410934+0956081 11.907 10.568 10.003
100.305094 9.919081 06411322+0955086 12.279 11.571 11.328
100.307532 9.928872 06411380+0955439 11.183 10.897 10.817
100.306892 9.926967 06411365+0955370 15.995 15.24 14.895
100.316152 9.931831 06411587+0955545 15.632 14.482 13.934
100.304919 9.943105 06411318+0956351 16.272 15.21 14.406
100.299895 9.948947 06411197+0956562 15.054 14.493 14.254
