OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326930428248198272,06404587+0959460,100.191139,9.996124,12.289,11.492,11.150
3326930423957694080,06404601+0959509,100.191728,9.997499,15.833,15.475,14.800
3326930840563726336,06404618+1002139,100.192455,10.037216,16.373,16.07,15.645
3326717329148181248,06404622+0951401,100.192595,9.861147,14.432,13.743,13.295
3326930836267966336,06404640+1002423,100.193371,10.045111,15.187,14.617,14.167
3326930428248198016,06404645+0959463,100.19355,9.996213,13.399,12.72,12.513
3326930630109718784,06404663+1000347,100.19433,10.009641,15.745,15.311,14.948
3326930320872085504,06404668+0958503,100.1945,9.980647,16.31,15.744,15.317
3326928675900247296,06404672+0954246,100.194692,9.906855,12.215,11.513,11.286
3326929083921502336,06404675+0956513,100.194804,9.9476,15.729,14.856,14.658
3326930428248198144,06404675+0959388,100.194814,9.994116,14.65,14.132,14.080
3326930428248197888,06404677+0959540,100.194898,9.998347,15.095,14.666,14.434
3326929083921487360,06404682+0957055,100.195091,9.951542,14.867,14.351,14.086
3326929191297619712,06404689+0957559,100.19538,9.965547,15.839,15.175,15.175
3326928778980764032,06404694+0955036,100.19559,9.917694,13.34,12.604,12.224
3326717466589162624,06404695+0952405,100.195638,9.877944,14.749,14.057,13.413
3326717531013658752,06404707+0953308,100.19616,9.891911,15.652,15.059,14.763
3326929191297620224,06404714+0957427,100.196424,9.961864,12.923,11.917,11.531
3326930767548481152,06404716+1001442,100.196535,10.028953,15.702,15.244,14.963
3326717535308637184,06404721+0953091,100.196711,9.885884,14.607,13.909,13.769
3326929187000718592,06404725+0957591,100.196902,9.966428,16.408,15.698,15.714
3326928671604634624,06404736+0954360,100.197361,9.910017,16.536,15.786,15.271
3326930836267964160,06404743+1002088,100.197646,10.035797,16.335,15.539,15.328
3326930737485840640,06404756+1000573,100.198199,10.015939,14.096,13.46,13.234
3326929118281226112,06404768+0957182,100.198678,9.955064,14.97,14.259,14.132
3326928671604632704,06404773+0954059,100.198899,9.901662,15.989,15.102,14.719
